Origin,License,"License URL",Copyright
git.sr.ht/~jamesponddotco/acopw-go,MIT,https://git.sr.ht/~jamesponddotco/acopw-go/tree/v1.0.2/LICENSE.md,2024 James Pond
git.sr.ht/~jamesponddotco/credential-go,MIT,https://git.sr.ht/~jamesponddotco/credential-go/tree/v1.0.0/LICENSE.md,2024 James Pond
github.com/RoaringBitmap/roaring/v2,Apache-2.0,https://github.com/RoaringBitmap/roaring/blob/v2.4.5/LICENSE,2014 Daniel Lemire
github.com/alecthomas/chroma/v2,MIT,https://github.com/alecthomas/chroma/blob/v2.17.0/COPYING,2017 Alec Thomas
github.com/aymerick/douceur,MIT,https://github.com/aymerick/douceur/blob/v0.2.0/LICENSE,2015 Aymerick JEHANNE
github.com/bits-and-blooms/bitset,BSD-3-Clause,https://github.com/bits-and-blooms/bitset/blob/v1.22.0/LICENSE,2014 Will Fitzgerald
github.com/blevesearch/bleve/v2,Apache-2.0,https://github.com/blevesearch/bleve/blob/v2.5.0/LICENSE,2014 Marty Schoch
github.com/blevesearch/bleve_index_api,Apache-2.0,https://github.com/blevesearch/bleve_index_api/blob/v1.2.7/LICENSE,2020 Marty Schoch
github.com/blevesearch/geo,Apache-2.0,https://github.com/blevesearch/geo/blob/v0.1.20/LICENSE,2013 David Symonds
github.com/blevesearch/go-porterstemmer,MIT,https://github.com/blevesearch/go-porterstemmer/blob/v1.0.3/LICENSE,2013 Charles Iliya Krempeaux
github.com/blevesearch/gtreap,MIT,https://github.com/blevesearch/gtreap/blob/v0.1.1/LICENSE,2012 Steve Yen
github.com/blevesearch/mmap-go,BSD-3-Clause,https://github.com/blevesearch/mmap-go/blob/v1.0.4/LICENSE,2011 Evan Shaw
github.com/blevesearch/scorch_segment_api/v2,Apache-2.0,https://github.com/blevesearch/scorch_segment_api/blob/v2.3.9/LICENSE,2020 Marty Schoch
github.com/blevesearch/segment,Apache-2.0,https://github.com/blevesearch/segment/blob/v0.9.1/LICENSE,2014 Marty Schoch
github.com/blevesearch/snowballstem,BSD-3-Clause,https://github.com/blevesearch/snowballstem/blob/v0.9.0/COPYING,2001 Dr Martin Porter
github.com/blevesearch/upsidedown_store_api,Apache-2.0,https://github.com/blevesearch/upsidedown_store_api/blob/v1.0.2/LICENSE,2020 Marty Schoch
github.com/blevesearch/vellum,Apache-2.0,https://github.com/blevesearch/vellum/blob/v1.1.0/LICENSE,2017 Marty Schoch
github.com/blevesearch/vellum/levenshtein,Apache-2.0,https://github.com/blevesearch/vellum/blob/v1.1.0/levenshtein/LICENSE,2017 Marty Schoch
github.com/blevesearch/zapx/v11,Apache-2.0,https://github.com/blevesearch/zapx/blob/v11.4.1/LICENSE,2020 Marty Schoch
github.com/blevesearch/zapx/v12,Apache-2.0,https://github.com/blevesearch/zapx/blob/v12.4.1/LICENSE,2020 Marty Schoch
github.com/blevesearch/zapx/v13,Apache-2.0,https://github.com/blevesearch/zapx/blob/v13.4.1/LICENSE,2020 Marty Schoch
github.com/blevesearch/zapx/v14,Apache-2.0,https://github.com/blevesearch/zapx/blob/v14.4.1/LICENSE,2020 Marty Schoch
github.com/blevesearch/zapx/v15,Apache-2.0,https://github.com/blevesearch/zapx/blob/v15.4.1/LICENSE,2020 Marty Schoch
github.com/blevesearch/zapx/v16,Apache-2.0,https://github.com/blevesearch/zapx/blob/v16.2.2/LICENSE,2020 Marty Schoch
github.com/dlclark/regexp2,MIT,https://github.com/dlclark/regexp2/blob/v1.11.5/LICENSE,Doug Clark
github.com/golang/geo,Apache-2.0,https://github.com/golang/geo/blob/740aa86cb551/LICENSE,2013 The Go Authors
github.com/golang/protobuf/proto,BSD-3-Clause,https://github.com/golang/protobuf/blob/v1.3.2/LICENSE,2010 The Go Authors
github.com/golang/snappy,BSD-3-Clause,https://github.com/golang/snappy/blob/v0.0.4/LICENSE,2011 The Snappy-Go Authors
github.com/gorilla/css/scanner,BSD-3-Clause,https://github.com/gorilla/css/blob/v1.0.1/LICENSE,2023 The Gorilla Authors
github.com/json-iterator/go,MIT,https://github.com/json-iterator/go/blob/v1.1.12/LICENSE,2016 json-iterator
github.com/microcosm-cc/bluemonday,BSD-3-Clause,https://github.com/microcosm-cc/bluemonday/blob/v1.0.27/LICENSE.md,2014 David Kitchen
github.com/microsoft/fluentui-system-icons,https://github.com/microsoft/fluentui-system-icons/blob/1.1.271/LICENSE,2020 Microsoft Corporation,2020 Microsoft Corporation
github.com/modern-go/concurrent,Apache-2.0,https://github.com/modern-go/concurrent/blob/e0a39a4cb421/LICENSE,2018 Tao Wen
github.com/modern-go/reflect2,Apache-2.0,https://github.com/modern-go/reflect2/blob/v1.0.2/LICENSE,2018 Tao Wen
go.cipher.host/cmdkit,MIT,https://github.com/cipherdothost/cmdkit-go/blob/v1.0.2/LICENSE.md,2025 The Cipher Host Team
go.etcd.io/bbolt,MIT,https://github.com/etcd-io/bbolt/blob/v1.4.0/LICENSE,2013 Ben Johnson
golang.org/x/net/html,BSD-3-Clause,https://cs.opensource.google/go/x/net/+/v0.39.0:LICENSE,2009 The Go Authors
golang.org/x/sys/unix,BSD-3-Clause,https://cs.opensource.google/go/x/sys/+/v0.32.0:LICENSE,2009 The Go Authors
golang.org/x/time/rate,BSD-3-Clause,https://cs.opensource.google/go/x/time/+/v0.11.0:LICENSE,2009 The Go Authors
